Component,individualID,climbID,microchipID,birthID,matingID,individualIdSource,materialOrigin,sex,species,generation,dateBirth,ageDeath,ageDeathUnits,brainWeight,rodentWeight,rodentDiet,bedding,room,waterpH,treatmentDose,treatmentType,stockNumber,genotype,genotypeBackground,individualCommonGenotype,modelSystemName,officialName
IndividualAnimalMODEL-ADMetadataTemplate,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3787,4814,,B-135-19,147868,UCI_TMF,UCI_TMF,male,Mouse ,N1,3/7/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,3863,4890,,B-136-19,147982,UCI_TMF,UCI_TMF,male,Mouse ,N1,3/9/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,3864,4891,,B-136-19,147982,UCI_TMF,UCI_TMF,male,Mouse ,N1,3/9/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,3866,4893,,B-136-19,147982,UCI_TMF,UCI_TMF,male,Mouse ,N1,3/9/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,5029,6167,,B-300-19,176781,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/26/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5028,6166,,B-300-19,176781,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/26/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5026,6164,,B-300-19,176781,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/26/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5025,6163,,B-300-19,176781,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/26/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5010,6148,,B-298-19,176774,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/26/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5009,6147,,B-298-19,176774,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/26/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
