individualID,climbID,microchipID,birthID,matingID,individualIdSource,materialOrigin,sex,species,generation,dateBirth,ageDeath,ageDeathUnits,brainWeight,rodentWeight,rodentDiet,bedding,room,waterpH,treatmentDose,treatmentType,stockNumber,genotype,genotypeBackground,individualCommonGenotype,modelSystemName,officialName
9384,10924,,B-435-20,241888,UCI_TMF,UCI_TMF,female,Mouse,F3,5/26/20,12,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9385,10925,,B-435-20,241888,UCI_TMF,UCI_TMF,female,Mouse,F3,5/26/20,12,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9386,10926,,B-435-20,241888,UCI_TMF,UCI_TMF,female,Mouse,F3,5/26/20,12,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9388,10928,,B-435-20,241888,UCI_TMF,UCI_TMF,female,Mouse,F3,5/26/20,12,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9477,11038,,B-453-20,217511,UCI_TMF,UCI_TMF,female,Mouse,F2,6/4/20,12,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9660,11234,,B-504-20,231285,UCI_TMF,UCI_TMF,male,Mouse,F2,6/21/20,12,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9761,11342,,B-526-20,231286,UCI_TMF,UCI_TMF,male,Mouse,F2,6/28/20,12,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
10042,11623,,B-580-20,241888,UCI_TMF,UCI_TMF,male,Mouse,F3,7/20/20,12,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
10043,11624,,B-580-20,241888,UCI_TMF,UCI_TMF,male,Mouse,F3,7/20/20,12,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
10096,11677,,B-609-20,241888,UCI_TMF,UCI_TMF,male,Mouse,F3,7/26/20,12,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
10097,11678,,B-609-20,241888,UCI_TMF,UCI_TMF,male,Mouse,F3,7/26/20,12,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
10098,11679,,B-609-20,241888,UCI_TMF,UCI_TMF,male,Mouse,F3,7/26/20,12,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
10099,11680,,B-609-20,241888,UCI_TMF,UCI_TMF,male,Mouse,F3,7/26/20,12,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
10100,11681,,B-609-20,241888,UCI_TMF,UCI_TMF,male,Mouse,F3,7/26/20,12,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
7119,8550,,B-764-19,194451,UCI_TMF,UCI_TMF,male,Mouse,F1,12/17/19,12,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
7120,8551,,B-764-19,194451,UCI_TMF,UCI_TMF,male,Mouse,F1,12/17/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
7121,8552,,B-764-19,194451,UCI_TMF,UCI_TMF,male,Mouse,F1,12/17/19,12,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
7134,8565,,B-766-19,204064,UCI_TMF,UCI_TMF,male,Mouse,F1,12/18/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
7547,8978,,B-73-20,161814,UCI_TMF,UCI_TMF,female,Mouse,N1,1/19/20,12,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
7548,8979,,B-73-20,161814,UCI_TMF,UCI_TMF,female,Mouse,N1,1/19/20,12,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
